article_id,session_id,newspaper,category,headline,link,published_date,matched_keywords,matched_keyword_count
384,PROTHOMALO_20260428_211709,Prothom Alo,entertainment,"‘কারাগার’ থেকে ‘বরবাদ’, আলোচিত এই চিত্রনাট্যকারকে চেনেন কি",https://www.prothomalo.com/entertainment/tv/ua0jls52sr,2026-04-28,ঘোষণা,1
1037,PROTHOMALO_20260507_121326,Prothom Alo,bangladesh,হাসানুল হক ইনুর পক্ষে যুক্তিতর্ক উপস্থাপন সম্পন্ন,https://www.prothomalo.com/bangladesh/95076s24cf,2026-05-07,"বক্তব্য, অভিযোগ, মামলা, সভা, আইন",5
351,PROTHOMALO_20260428_211709,Prothom Alo,entertainment,"সব জল্পনার অবসান, ৭ কোটি টাকার আংটিতে বাগ্‌দান সারলেন আলোচিত জুটি",https://www.prothomalo.com/entertainment/song/m5bzole2sa,2026-04-28,"গণমাধ্যম, আলোচনা, দাবি",3
394,PROTHOMALO_20260428_211709,Prothom Alo,world,জয়ের চ্যালেঞ্জ ছুড়ে নির্বাচনী প্রচার শেষ করলেন মোদি ও মমতা,https://www.prothomalo.com/world/india/rnytvksul3,2026-04-28,"স্বাধীনতা, বক্তব্য, সমাবেশ, ঘোষণা, নারী, নীতি, সভা",7
272,PROTHOMALO_20260428_211709,Prothom Alo,sports,"আইরিনের হ্যাটট্রিক, এশিয়ান গেমসের বাছাইয়ের ফাইনালে বাংলাদেশের মেয়েরা",https://www.prothomalo.com/sports/other-sports/4ngtczxrbx,2026-04-28,"আক্রমণ, নারী",2
350,PROTHOMALO_20260428_211709,Prothom Alo,world,"এবিসির জিমি কিমেলের ওপর কেন চটলেন মেলানিয়া ও ট্রাম্প, চান তাঁর চাকরিচ্যুতি",https://www.prothomalo.com/world/usa/ldn4mc1jnd,2026-04-28,"মতপ্রকাশের স্বাধীনতা, স্বাধীনতা, মতপ্রকাশ, প্রতিবাদ, সাংবাদিক, বক্তব্য, অভিযোগ, অধিকার, সংবাদ, দাবি, নীতি, চাপ",12
431,PROTHOMALO_20260428_211709,Prothom Alo,roundtable,বরিশালের স্বাস্থ্যসেবা নিশ্চিতে স্থানীয় সরকারের সমন্বয়,https://www.prothomalo.com/roundtable/p6s6m8jvjd,2026-04-28,"প্রান্তিক জনগোষ্ঠী, প্রতিষ্ঠান, স্বচ্ছতা, আলোচনা, অভিযোগ, অধিকার, অনলাইন, এনজিও, নারী, ভাতা, বাধা, নীতি, সভা, চাপ, আইন",15
426,PROTHOMALO_20260428_211709,Prothom Alo,bangladesh,ফরিদপুরে দাদি–ফুফুসহ তিনজনকে কুপিয়ে হত্যার ঘটনায় অভিযুক্ত আকাশ আটক,https://www.prothomalo.com/bangladesh/district/4jo9ayyuah,2026-04-28,"মামলা, আইন",2
278,PROTHOMALO_20260428_211709,Prothom Alo,education,এসএসসি পরীক্ষা ২০২৬। তথ্য ও যোগাযোগ প্রযুক্তি: ৫ম অধ্যায়ের বহুনির্বাচনি প্রশ্নোত্তর,https://www.prothomalo.com/education/examination/zpaj6yn43d,2026-04-28,চাপ,1
424,PROTHOMALO_20260428_211709,Prothom Alo,world,"যুদ্ধবিরতি লঙ্ঘন করে পাকিস্তান-আফগানিস্তানে পাল্টাপাল্টি হামলার অভিযোগ, হতাহত",https://www.prothomalo.com/world/asia/9o9tg4jc84,2026-04-28,"প্রতিষ্ঠান, অভিযোগ, ঘোষণা, নারী, দাবি",5
406,PROTHOMALO_20260428_211709,Prothom Alo,technology,"সমুদ্রের তলদেশে হচ্ছে রহস্যময় গ্যাস নিঃসরণ, পরিবেশের ওপর প্রভাব পড়ার আশঙ্কা",https://www.prothomalo.com/technology/science/bho5t8aezy,2026-04-28,গবেষণা,1
433,PROTHOMALO_20260428_211709,Prothom Alo,lifestyle,"এই ৬ রুটির কোনটার কী উপকারিতা, জানেন কি",https://www.prothomalo.com/lifestyle/health/opf7ucdo6g,2026-04-28,"অনলাইন, চাপ",2
364,PROTHOMALO_20260428_211709,Prothom Alo,religion,ইমাম আল-জুওয়াইনির রাজনৈতিক পূর্বাভাস,https://www.prothomalo.com/religion/islam/8loql0z80b,2026-04-28,"স্বাধীনতা, আলোচনা, অধিকার, নীতি, আইন",5
309,PROTHOMALO_20260428_211709,Prothom Alo,bangladesh,"মায়ের মৃত্যুর পর চিকিৎসায় অবহেলার অভিযোগ পুলিশ সদস্যের, নার্সের সঙ্গে হাতাহাতি",https://www.prothomalo.com/bangladesh/district/bzvv4rkitk,2026-04-28,"গ্রেপ্তার, আলোচনা, অভিযোগ, বিচার, মামলা, ঘোষণা, আইন",7
436,PROTHOMALO_20260428_211709,Prothom Alo,entertainment,জীবনে প্রথমবার আমাকে মানুষ গালি দিতে দেখবে,https://www.prothomalo.com/entertainment/entertainment-interview/26b1c23urs,2026-04-28,"আলোচনা, সংবাদ",2
1003,PROTHOMALO_20260507_121326,Prothom Alo,chakri,চট্টগ্রামে দুই কর অঞ্চলে ২৫২ পদে চাকরি,https://www.prothomalo.com/chakri/employment/pacgs0atkv,2026-05-07,বেতন,1
292,PROTHOMALO_20260428_211709,Prothom Alo,bangladesh,"দাউদকান্দিতে বন্ধ মসজিদের তালা খোলা নিয়ে তাবলিগের দুই পক্ষের সংঘর্ষ, আহত ১০",https://www.prothomalo.com/bangladesh/district/7gkrwq6p0y,2026-04-28,"প্রতিবাদ, বক্তব্য, আলোচনা, সমাবেশ, অভিযোগ, সংবাদ, বাধা, দাবি",8
437,PROTHOMALO_20260428_211709,Prothom Alo,business,শেয়ারবাজারে ব্যক্তি বিনিয়োগকারীরা কেন বারবার ক্ষতিগ্রস্ত হন,https://www.prothomalo.com/business/market/fzyw6vulwb,2026-04-28,"প্রতিষ্ঠান, স্বচ্ছতা, অভিযোগ, গবেষণা, অধিকার, অনলাইন, মামলা, সংগঠন, নীতি, সভা, আইন",11
236,PROTHOMALO_20260428_211709,Prothom Alo,opinion,শিক্ষা প্রযুক্তিতে আমাদের বাচ্চারা কেন পিছিয়ে থাকবে?,https://www.prothomalo.com/opinion/column/mprp02cdhw,2026-04-28,"উন্নয়ন সংস্থা, প্রতিষ্ঠান, ইন্টারনেট, নীতিমালা, গবেষণা, অনলাইন, নারী, নীতি",8
271,PROTHOMALO_20260428_211709,Prothom Alo,bangladesh,জুলাই আন্দোলনের হত্যা মামলায় তারিক সিদ্দিকের গাড়িচালক ও তত্ত্বাবধায়ক আবার রিমান্ডে,https://www.prothomalo.com/bangladesh/k2yh8oppev,2026-04-28,"গ্রেপ্তার, আন্দোলন, মামলা, মিছিল, দাবি, আইন",6
263,PROTHOMALO_20260428_211709,Prothom Alo,sports,"অনিশ্চয়তায় জিদানের ছেলে, আলজেরিয়ার বিশ্বকাপ স্বপ্নে বড় ধাক্কা",https://www.prothomalo.com/sports/football/sxwzbhu3jp,2026-04-28,"আলোচনা, বিবৃতি, বাধা",3
998,PROTHOMALO_20260507_121326,Prothom Alo,bangladesh,"ঘরে খাবার নেই, কিস্তির চাপ, বাবার ফেরার অপেক্ষায় সন্তানেরা",https://www.prothomalo.com/bangladesh/district/5dhei6rjcd,2026-05-07,চাপ,1
999,PROTHOMALO_20260507_121326,Prothom Alo,sports,নেভেসের হ্যান্ডবলে কেন পেনাল্টি পেল না বায়ার্ন,https://www.prothomalo.com/sports/football/7ij1ep1ba6,2026-05-07,"আলোচনা, বাধা, দাবি, চাপ, আইন",5
454,PROTHOMALO_20260428_211709,Prothom Alo,bangladesh,দুর্যোগের ক্ষয়ক্ষতি কমাতে পূর্বাভাসভিত্তিক আগাম নগদ সহায়তা কার্যকর,https://www.prothomalo.com/bangladesh/mhye5jd91t,2026-04-28,"উন্নয়ন সংস্থা, বক্তব্য, আলোচনা, গবেষণা, সভা",5
227,PROTHOMALO_20260428_211709,Prothom Alo,bangladesh,কুষ্টিয়ায় পীর হত্যা মামলায় ভিডিও দেখে এক কিশোরকে গ্রেপ্তার,https://www.prothomalo.com/bangladesh/district/9z7pqovhq6,2026-04-28,"গ্রেপ্তার, এজাহার, অভিযোগ, মামলা, সভা",5
390,PROTHOMALO_20260428_211709,Prothom Alo,world,যুক্তরাষ্ট্রে মাঝ আকাশে উড়োজাহাজে নতুন যাত্রীর আগমন,https://www.prothomalo.com/world/usa/vjcmq9blwb,2026-04-28,"গণমাধ্যম, নারী, বিধি",3
269,PROTHOMALO_20260428_211709,Prothom Alo,business,"ইরান যুদ্ধের কারণে ব্রিটিশ পেট্রোলিয়ামের মুনাফা দ্বিগুণ, মুনাফা নিয়ে সমালোচনা কেন",https://www.prothomalo.com/business/world-business/9w981khhza,2026-04-28,"প্রতিষ্ঠান, সভা",2
261,PROTHOMALO_20260428_211709,Prothom Alo,education,এসএসসি পরীক্ষা ২০২৬। তথ্য ও যোগাযোগ প্রযুক্তি: পরামর্শ,https://www.prothomalo.com/education/examination/ht5fel80it,2026-04-28,"ইন্টারনেট, মিডিয়া, আক্রমণ, অধিকার, আইন",5
280,PROTHOMALO_20260428_211709,Prothom Alo,bangladesh,গণমাধ্যমে ভুল তথ্য কোনোভাবেই সহ্য করা হবে না: তথ্য উপদেষ্টা,https://www.prothomalo.com/bangladesh/c6tso7kxin,2026-04-28,"গ্রেপ্তার, গণমাধ্যম, বক্তব্য, অভিযোগ",4
239,PROTHOMALO_20260428_211709,Prothom Alo,business,তিন মাসে ৬১৬ কোটি টাকার জুতার ব্যবসা এপেক্স ফুটওয়্যারের,https://www.prothomalo.com/business/market/rwe7i3lnfg,2026-04-28,"প্রতিবেদন, সভা",2
420,PROTHOMALO_20260428_211709,Prothom Alo,religion,একজন আদর্শ পিতার ৫ গুণ,https://www.prothomalo.com/religion/islam/u3d7m8ndid,2026-04-28,"আলোচনা, হুমকি, বিচার, মতামত, চাপ",5
257,PROTHOMALO_20260428_211709,Prothom Alo,world,"নিউইয়র্কে উড়ল বিদ্যুৎচালিত এয়ার ট্যাক্সি, নগরে চলাচলে যুক্ত হতে পারে নতুন পরিবহন",https://www.prothomalo.com/world/usa/twb2ezrten,2026-04-28,"প্রতিষ্ঠান, বিবৃতি, দাবি",3
240,PROTHOMALO_20260428_211709,Prothom Alo,video,বট বাহিনী দিয়ে ‘ভাইরাল’ হয়ে রাজনীতি হয় না: সংসদে শামা ওবায়েদ,https://www.prothomalo.com/video/bangladesh/o3n3yr4j49,2026-04-28,নীতি,1
328,PROTHOMALO_20260428_211709,Prothom Alo,bangladesh,গুলশান ইয়ুথ ক্লাবের অফিশিয়াল স্পনসর স্কয়ার ফুড অ্যান্ড বেভারেজ,https://www.prothomalo.com/bangladesh/49jnitb6cl,2026-04-28,"নারী, সভা",2
1031,PROTHOMALO_20260507_121326,Prothom Alo,bangladesh,রাজধানীতে লক্কড়ঝক্কড় গাড়ির বিরুদ্ধে অভিযানে নামছে পুলিশ,https://www.prothomalo.com/bangladesh/capital/ruleu7lgn4,2026-05-07,আইন,1
291,PROTHOMALO_20260428_211709,Prothom Alo,bangladesh,"এরশাদের মার্শাল লর সময় অনেককে বেআইনিভাবে আটক করে রাখার কথা সত্য নয়, জেরায় আমান আযমী",https://www.prothomalo.com/bangladesh/emeanupw88,2026-04-28,"মামলা, আইন",2
440,PROTHOMALO_20260428_211709,Prothom Alo,entertainment,কেট কেন আলোচনায়,https://www.prothomalo.com/entertainment/hollywood/w5n3ueaxhd,2026-04-28,"আলোচনা, সংগঠন, নীতি, চাপ",4
210,PROTHOMALO_20260428_211709,Prothom Alo,bangladesh,"টেকনাফ থেকে তেঁতুলিয়া দৌড়ে পাড়ি দিচ্ছেন ৩ তরুণ, গড়তে চান রেকর্ড",https://www.prothomalo.com/bangladesh/district/hmxavfbb1e,2026-04-28,"প্রতিষ্ঠান, সংগঠন, নারী, বাধা",4
1004,PROTHOMALO_20260507_121326,Prothom Alo,sports,এবার রিয়াল মাদ্রিদ হওয়ার অপেক্ষায় পিএসজি,https://www.prothomalo.com/sports/football/io5b17f5kn,2026-05-07,"আক্রমণ, সভা",2
1016,PROTHOMALO_20260507_121326,Prothom Alo,sports,সৌদি আরব কেন খেলাধুলা থেকে সরে যাচ্ছে,https://www.prothomalo.com/sports/om7yrba48x,2026-05-07,"মানবাধিকার, প্রতিবেদন, স্বচ্ছতা, অভিযোগ, বেতন",5
349,PROTHOMALO_20260428_211709,Prothom Alo,lifestyle,"ব্লু, হোয়াইট, নাকি গ্রে কলার—জেনে নিন আপনার চাকরির ধরন",https://www.prothomalo.com/lifestyle/0ui6ez3czu,2026-04-28,"প্রতিষ্ঠান, প্রতিবেদন, মিডিয়া, শ্রমিক, বিচার, নীতি, আইন",7
298,PROTHOMALO_20260428_211709,Prothom Alo,business,ঢাকা ব্যাংকের ডিএমডি হলেন এস এম আবদুল্লাহ হিল কাফি,https://www.prothomalo.com/business/corporate/rsh7xqlrlx,2026-04-28,"সংবাদ, নীতি",2
357,PROTHOMALO_20260428_211709,Prothom Alo,durporobash,ক্যানবেরায় বর্ণাঢ্য বৈশাখী মেলা অনুষ্ঠিত,https://nagorik.prothomalo.com/durporobash/083elas5hw,2026-04-28,"নীতি, সভা",2
242,PROTHOMALO_20260428_211709,Prothom Alo,bangladesh,চাঁপাইনবাবগঞ্জে যৌতুকের দাবিতে গৃহবধূকে শ্বাস রোধ করে হত্যার অভিযোগ,https://www.prothomalo.com/bangladesh/district/dguya0sdy3,2026-04-28,"নির্যাতন, অভিযোগ, মামলা, নারী, দাবি",5
1024,PROTHOMALO_20260507_121326,Prothom Alo,bangladesh,পোশাকশ্রমিকের কাজ করে গড়া বাগানে ঝুলছে ২০ জাতের আঙুর,https://www.prothomalo.com/bangladesh/district/ybo6w3rd1t,2026-05-07,"প্রতিবন্ধকতা, শ্রমিক, বেতন",3
251,PROTHOMALO_20260428_211709,Prothom Alo,bangladesh,"নেত্রকোনায় হাওর-বিলে ঢুকছে পানি, আধপাকা ধান কাটছেন কৃষকেরা",https://www.prothomalo.com/bangladesh/district/0u45py8jpt,2026-04-28,"শ্রমিক, দাবি",2
204,PROTHOMALO_20260428_211709,Prothom Alo,bangladesh,প্রধানমন্ত্রীর সঙ্গে রোসাটম মহাপরিচালকের সৌজন্য সাক্ষাৎ,https://www.prothomalo.com/bangladesh/t7q1r0d4pd,2026-04-28,আলোচনা,1
1021,PROTHOMALO_20260507_121326,Prothom Alo,technology,কম্পিউটার বাজারে পণ্যের দাম স্থিতিশীল,https://www.prothomalo.com/technology/bjjfknya1k,2026-05-07,"প্রতিষ্ঠান, ইন্টারনেট",2
